timestamp_chegada,owd_ms
1785443200.0080242,27.967
1785443200.2121203,5.846
1785443200.4190392,8.193
1785443200.6233659,5.937
1785443200.8271952,5.32
1785443201.0321517,5.936
1785443201.2364006,5.571
1785443201.4419572,6.619
1785443201.6496956,8.863
1785443201.8560793,7.932
1785443202.0628376,7.74
1785443202.2675335,5.707
1785443202.4733005,6.806
1785443202.678,6.175
1785443202.8824098,5.539
1785443203.0871515,5.785
1785443203.2933576,7.251
1785443203.4987473,6.441
1785443203.705249,7.575
1785443203.910271,6.563
1785443204.1159987,7.095
1785443204.3215854,6.703
1785443204.5262704,6.424
1785443204.7309427,5.836
1785443204.936125,6.233
1785443205.1414247,6.851
1785443205.3474693,7.171
1785443205.6543105,108.461
1785443206.0128865,261.6
1785443206.5552504,597.15
1785443206.882013,719.133
1785443207.1550038,787.443
1785443207.3725636,800.115
1785443207.6451962,867.708
1785443207.8085651,826.672
1785443208.0267208,839.889
1785443208.2813437,888.005
1785443208.4631207,865.517
1785443208.682215,879.595
1785443208.9113579,904.461
1785443209.1183882,907.511
1785443209.369513,954.354
1785443209.5411534,921.743
1785443209.770686,946.214
1785443209.9826074,953.808
1785443210.1996903,964.408
1785443210.435428,993.571
1785443210.6248322,978.573
1785443210.857171,1005.718
1785443211.0679715,1011.599
1785443211.282283,1021.598
1785443211.487177,1018.353
1785443211.703966,1030.137
1785443211.943631,1064.953
1785443212.1459854,1062.299
1785443212.3464346,1057.554
1785443212.5649893,1070.833
1785443212.7751696,1075.468
1785443213.0233314,1118.068
1785443213.205654,1095.834
1785443213.4276912,1113.433
1785443213.6545556,1135.756
1785443213.8685205,1143.662
1785443214.090406,1160.239
1785443214.2860584,1150.604
1785443214.5146966,1174.215
1785443214.7221766,1177.281
1785443214.9301252,1180.201
1785443215.1494634,1193.616
1785443215.3582146,1198.096
1785443215.583082,1218.422
1785443215.7941782,1223.297
1785443216.0101097,1234.658
1785443216.2279158,1247.498
1785443216.4508648,1266.037
1785443216.660701,1270.514
1785443216.8685596,1273.082
1785443217.0868936,1286.996
1785443217.2950308,1289.793
1785443217.5215912,1310.47
1785443217.7361176,1318.751
1785443217.9458506,1323.03
1785443218.1711743,1341.787
1785443218.38848,1352.579
1785443218.6183987,1377.55
1785443218.8214517,1373.648
1785443219.0553777,1403.047
1785443219.2757442,1417.504
1785443219.5023134,1439.793
1785443219.7352896,1468.39
1785443219.9714823,1499.026
1785443220.210485,1532.416
1785443220.4438539,1560.457
1785443220.6752174,1587.325
1785443220.9223883,1630.047
1785443221.1552987,1658.62
1785443221.4121246,1710.807
1785443221.6518874,1744.713
1785443221.9023902,1790.095
1785443222.1551964,1837.833
1785443222.392109,1869.296
1785443222.6636214,1936.34
1785443222.8961177,1963.722
1785443223.1482453,2009.589
1785443223.411063,2067.59
1785443223.665532,2115.301
1785443223.9195755,2163.291
1785443224.176301,2213.506
1785443224.4366896,2269.05
1785443224.7024179,2328.614
1785443224.962709,2383.098
1785443225.2107859,2424.896
1785443225.4653115,2474.932
1785443225.7731035,2578.283
1785443226.0132031,2613.393
1785443226.280489,2675.598
1785443226.5719502,2762.612
1785443226.8294058,2815.748
1785443227.115255,2897.12
1785443227.3709056,2948.04
1785443227.6719115,3044.44
1785443227.9257047,3093.414
1785443228.1981614,3161.378
1785443228.4718728,3229.639
1785443228.7524314,3303.595
1785443229.0162015,3360.035
1785443229.3276477,3464.81
1785443229.6000621,3532.423
1785443229.8525882,3577.215
1785443230.118718,3638.496
1785443230.4345233,3749.141
1785443230.7065682,3812.931
1785443231.0150132,3916.86
1785443231.3375976,4034.636
1785443231.617534,4109.654
1785443231.9455094,4233.181
1785443232.271547,4352.335
1785443232.5599117,4434.498
1785443232.867583,4537.703
1785443233.2054024,4670.874
1785443233.4719667,4733.323
1785443233.5960515,4653.601
1785443233.5975695,4451.225
1785443233.5988522,4248.478
1785443233.6006553,4043.78
1785443233.6021254,3841.412
1785443233.603363,3638.31
1785443233.6048312,3433.98
1785443233.6061552,3230.265
1785443233.6073148,3026.486
1785443233.6084423,2822.23
1785443233.6096904,2618.542
1785443233.6108432,2414.964
1785443233.6120062,2211.624
1785443233.6131628,2004.311
1785443233.6171904,1802.721
1785443233.6185057,1596.417
1785443233.6200397,1391.154
1785443233.6213517,1188.01
1785443233.622793,984.939
1785443233.6245747,782.078
1785443233.6271985,580.312
1785443233.6294029,378.112
1785443233.6318076,175.338
1785443233.667017,6.187
1785443233.871754,5.877
1785443234.077143,6.794
1785443234.2823405,6.433
1785443234.4894693,8.295
1785443234.6935713,5.7
1785443234.8987954,6.16
1785443235.1033854,5.527
1785443235.3081925,5.85
1785443235.5120208,5.165
1785443235.7180877,7.192
1785443235.9230285,6.69
1785443236.1277184,5.646
1785443236.333625,6.812
1785443236.540017,7.784
1785443236.747974,9.443
1785443236.9529994,7.097
1785443237.1581094,6.923
